"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2013,42049,"Erie County, PA",0.8,6,1,0.068,12.2,11,6226.93,48532.2780293938
2013,42125,"Washington County, PA",0.7,8,3,0.071,10.6,15,7252.73,60270.5419599819
2013,44007,"Providence County, RI",1.3,10,1,0.076,9.5,19,6297.98,52284.4399944911
2013,46099,"Minnehaha County, SD",0.5,5,1,0.067,8.9,20,7234.26,57486.325842564
2013,46127,"Union County, SD",0.3,4,0,0.063,10.5,20,5791.5,73343.2981250123
2013,48113,"Dallas County, TX",1.5,12,0,0.081,12.9,30,5005.32,52569.7755051449
2013,48201,"Harris County, TX",1.9,13,1,0.08,11.8,31,5624.72,57652.0399275975
2013,48453,"Travis County, TX",0.4,5,1,0.07,7.2,14,4815.4,66254.9055738092
2013,51087,"Henrico County, VA",1.2,8,1,0.065,8.2,13,7184.82,65901.5285183072
2013,51650,"Hampton City, VA",0.9,4,1,0.068,7.1,9,5525.78,49706.5434001613
2013,56021,"Laramie County, WY",0.3,4,0,0.069,4.6,12,6585.94,65530.5923544573
2014,1073,"Jefferson County, AL",2.4,14,2,0.065,11.7,25,7070.82,48436.8172966108
2014,4013,"Maricopa County, AZ",2.8,25,1,0.08,11.1,45,5562.19,58239.300811311
2014,4019,"Pima County, AZ",1.1,11,0,0.069,5.9,39,5768.02,49537.2613531801
2014,5119,"Pulaski County, AR",1.2,9,1,0.066,10.8,20,6144.27,49350.434246422
2014,6013,"Contra Costa County, CA",1,9,1,0.072,10.5,16,7557.89,86759.0526169428
2014,6019,"Fresno County, CA",2,12,0,0.097,16.4,41,4966.05,46801.8101311094
2014,6023,"Humboldt County, CA",0.9,2,0,0.043,3.1,17,5790.85,43824.4556031785
2014,6067,"Sacramento County, CA",1.9,11,1,0.081,8.8,20,5737.93,60263.0811469449
2014,6083,"Santa Barbara County, CA",1,8,1,0.076,8.9,24,6051.66,67080.6506554061
2014,6085,"Santa Clara County, CA",1.9,13,0,0.073,9.3,19,6042.89,104989.274519736
2014,6095,"Solano County, CA",2,8,1,0.066,10,11,7203.63,72469.4787636307
2014,8001,"Adams County, CO",1.7,18,1,0.067,9.4,30,6050.54,64056.8593321539
2014,8031,"Denver County, CO",2.4,25,1,0.066,9.9,31,6050.54,59257.6705319635
2014,9001,"Fairfield County, CT",1.4,9,1,0.081,8.7,18,7860.59,92156.520128948
2014,9003,"Hartford County, CT",1.4,14,1,0.077,8.1,10,7991.33,71068.8154256813
2014,9005,"Litchfield County, CT",0.6,2,0,0.068,5.2,7,7926.1,79280.5687192564
2014,9009,"New Haven County, CT",1.3,13,1,0.072,9.2,14,8283.56,65213.4595132979
2014,11001,"District of Columbia",2,11,1,0.069,9.9,17,10903.01,75586.1436775257
2014,12011,"Broward County, FL",2,7,0,0.063,6.3,15,7075.43,55599.9629563009
2014,12031,"Duval County, FL",1.3,8,1,0.071,8.1,16,5965.73,49690.6107702879
2014,12095,"Orange County, FL",1.5,5,0,0.063,6.4,15,4919.94,50831.012069343
2014,12103,"Pinellas County, FL",0.8,5,0,0.064,6.5,19,7318.05,48771.5941931137
2014,13089,"DeKalb County, GA",1.3,11,0,0.07,12,18,5282.29,54640.9891366409
2014,15003,"Honolulu County, HI",1.3,3,1,0.054,4.5,19,6200.57,79898.2860895779
2014,18089,"Lake County, IN",1.9,13,2,0.067,11.9,24,7631.55,54832.1359452893
2014,18097,"Marion County, IN",3.1,17,3,0.066,12.2,27,6619.55,46112.8176795969
2014,18163,"Vanderburgh County, IN",3.2,9,2,0.07,11.5,17,6862.97,46028.5834927349
2014,19153,"Polk County, IA",0.8,9,0,0.061,9.3,21,7261.64,65905.6917412281
2014,19163,"Scott County, IA",0.6,7,1,0.064,10.3,45,6699.18,59351.6240480788
2014,20209,"Wyandotte County, KS",1.1,11,2,0.063,9.9,25,5462.58,40051.1960019487
2014,22033,"East Baton Rouge Parish, LA",1.3,11,1,0.075,10,24,7165.9,50573.9898068666
2014,24033,"Prince George's County, MD",0.8,8,1,0.069,9.9,12,6273.78,77650.9611811179
2014,25025,"Suffolk County, MA",1.1,17,1,0.06,8.4,16,6782.4,58618.3546521902
2014,25027,"Worcester County, MA",1.1,13,1,0.065,7.5,15,8455.73,70429.499545908
2014,26163,"Wayne County, MI",1.5,16,3,0.073,12,27,6760.38,44745.6320312978
2014,27053,"Hennepin County, MN",1.2,16,1,0.06,9.8,21,7767.51,69644.393727335
2014,29510,"St. Louis City, MO",1,14,2,0.066,11.9,31,5771.74,38532.8207874871
2014,32003,"Clark County, NV",2.8,14,1,0.074,10.3,29,5358.89,55336.4611409889
2014,32031,"Washoe County, NV",2.4,14,0,0.071,7.7,23,5152.81,57087.0203320574
2014,34013,"Essex County, NJ",2.5,19,1,0.07,9.2,15,6007.71,58967.1705798368
2014,34017,"Hudson County, NJ",1.8,17,1,0.072,10.5,17,5331.35,62333.2982779001
2014,35001,"Bernalillo County, NM",1.2,12,1,0.064,7.4,34,6100.93,50963.8429024716
2014,37067,"Forsyth County, NC",1.5,6,0,0.067,9.1,12,6491,49616.0959126792
2014,37119,"Mecklenburg County, NC",1.3,9,0,0.068,9.2,17,5695.16,63768.5192309723
2014,37183,"Wake County, NC",1.2,10,0,0.063,11.1,14,6373.73,72301.0103899066
2014,38017,"Cass County, ND",0.3,4,0,0.059,6.7,16,7158.27,58051.3937790804
2014,39035,"Cuyahoga County, OH",3.7,12,4,0.071,12.5,38,7486.11,47665.7505091815
2014,39049,"Franklin County, OH",1.3,12,0,0.07,10.9,23,6317.47,57413.1578247796
2014,39061,"Hamilton County, OH",1.1,23,2,0.073,13.3,19,6893.92,52887.1901691545
2014,40109,"Oklahoma County, OK",0.7,7,0,0.069,9.1,23,6805.64,52080.4858411298
2014,40143,"Tulsa County, OK",0.9,7,1,0.065,9.5,20,6818.61,54543.7958441077
2014,41051,"Multnomah County, OR",1.3,8,1,0.055,6.3,11,5621.07,57796.5313675491
2014,42003,"Allegheny County, PA",1.6,6,4,0.071,12.8,26,7464.92,56571.8958816319
